name,price,product_url,브랜드,부위,gender,collaborate,uniform,sport,image_path,prob_cute,prob_hiphop,prob_classic,prob_interview,prob_date(first),prob_maturity,prob_luxury,prob_date,prob_casual,prob_young,prob_sexy,prob_trip,prob_beautiful,prob_lovely,prob_unique,prob_pretty,prob_picnic,prob_pattern,prob_Scary,prob_influencer,prob_work,prob_nice,prob_party,prob_sports,prob_art,predicted_labels
에어로쿨 스몰로고 반팔 티셔츠 (S25MUFTS76) Black,46550,https://www.musinsa.com/products/4781847,스노우피클 어패럴,top,male,,,,"545_infront.jpg,545_back.jpg",0.12090116,0.122055002,0.591667771,0.071311697,0.167216703,0.094032072,0.10979066,0.2178078,0.481165528,0.116470501,0.087058857,0.136500522,0.136056006,0.092074051,0.175608292,0.091464564,0.25463891,0.212630019,0.122357257,0.071508378,0.074825153,0.140391424,0.124274775,0.16792427,0.086809352,classic
NT7UQ16L 화이트라벨 코어 1966 반팔 라운드티,29000,https://www.musinsa.com/products/4156585,노스페이스,top,both,,,,"546_infront.jpg,546_back.jpg",0.110817537,0.12729384,0.660773933,0.059738837,0.166299164,0.103068173,0.105981641,0.250448853,0.537035227,0.135303438,0.077927582,0.147253796,0.109363168,0.078295164,0.156595111,0.063795887,0.277907252,0.213261202,0.093289591,0.055184469,0.073091999,0.121776044,0.105792627,0.267003268,0.078206934,"classic,casual"
NT7UQ07L 화이트라벨 팀 아카이브 반팔 라운드티,39000,https://www.musinsa.com/products/4112294,노스페이스,top,male,,,,"549_infront.jpg,549_back.jpg",0.135424078,0.138062015,0.645075679,0.078821056,0.172218546,0.108798139,0.124784917,0.249793187,0.521771491,0.150389314,0.093521081,0.16101554,0.137625396,0.091725059,0.186757177,0.087570392,0.281786382,0.226734892,0.10366752,0.07493522,0.08265347,0.141514301,0.135412186,0.266669631,0.105971448,"classic,casual"
NT7UQ50K 화이트라벨 익스플로러 반팔 라운드 티_BLACK,43000,https://www.musinsa.com/products/4365885,노스페이스,top,both,,,,"550_infront.jpg,550_back.jpg",0.176833987,0.159344658,0.607643485,0.079875603,0.17000857,0.101363845,0.118505605,0.228003055,0.503841043,0.150179878,0.091621697,0.145692512,0.157409266,0.111896664,0.190434679,0.113320611,0.26168099,0.221927747,0.174708948,0.097352132,0.08047159,0.170492694,0.138996303,0.188000053,0.127464548,"classic,casual"
NT7UQ50J 화이트라벨 익스플로러 반팔 라운드 티_WHITE,49300,https://www.musinsa.com/products/4365898,노스페이스,top,both,,,,"551_infront.jpg,551_back.jpg",0.138798758,0.141746998,0.550287187,0.132180795,0.184859946,0.135942772,0.141210467,0.273807466,0.458223075,0.157517195,0.097904161,0.170391247,0.13701959,0.101778567,0.197708592,0.113828167,0.283502012,0.303384453,0.123479374,0.10402558,0.137213513,0.168370202,0.160085022,0.22316581,0.151158214,classic
60/40 워싱 반팔티셔츠 CHARCOAL,69000,https://www.musinsa.com/products/4136796,시에라디자인,top,male,,,,"552_infront.jpg,552_back.jpg",0.122397132,0.116944671,0.65693891,0.055526819,0.143921137,0.074935697,0.095537007,0.205270439,0.521582782,0.11343582,0.071885698,0.123949185,0.125943616,0.080307499,0.158175305,0.078236975,0.24619402,0.168604136,0.115230009,0.056342643,0.056665432,0.127666056,0.106359556,0.195155665,0.074598283,"classic,casual"
NT7UQ02B 남성 아이스 데이 테크 반소매 티셔츠,59000,https://www.musinsa.com/products/4069330,노스페이스,top,male,,,,"553_infront.jpg,553_back.jpg",0.109228827,0.11273127,0.634698153,0.062409043,0.14291361,0.080362126,0.10205707,0.204788923,0.50919193,0.111702316,0.075543776,0.132700115,0.122367993,0.078739785,0.165685132,0.078404889,0.249710947,0.182889789,0.110607915,0.053768404,0.061757345,0.128561482,0.112922452,0.175146997,0.07620623,"classic,casual"
코튼 기어 반팔 티셔츠 (S25MMFTS68) Charcoal,56050,https://www.musinsa.com/products/4781850,스노우피클 어패럴,top,male,,,,"554_infront.jpg,554_back.jpg",0.125490412,0.122233622,0.648045599,0.063624695,0.150021315,0.089209303,0.109597795,0.227331504,0.51901418,0.128855899,0.079907313,0.142479107,0.135356128,0.083672799,0.173845708,0.083458371,0.263275027,0.181413367,0.130415604,0.055469029,0.068568535,0.132664993,0.116356768,0.22472614,0.081556559,"classic,casual"
모로(MORO) 퀵드라이 반팔티셔츠 IVORY,89000,https://www.musinsa.com/products/4047484,시에라디자인,top,male,,,,"555_infront.jpg,555_back.jpg",0.122741736,0.130141452,0.650187373,0.078250386,0.163538724,0.101778172,0.127676651,0.237531766,0.525846481,0.130013227,0.099599093,0.161638603,0.136972576,0.094475172,0.18487069,0.092451856,0.279067993,0.220065862,0.111925192,0.071515903,0.079949692,0.144974858,0.141393334,0.217913821,0.100410819,"classic,casual"
NT7UQ06D 맨즈 리커버리 반팔 라운드 티,29000,https://www.musinsa.com/products/4004403,노스페이스,top,male,,,,"556_infront.jpg,556_back.jpg",0.105335489,0.113471001,0.64924264,0.059610724,0.141350999,0.082941055,0.104299493,0.222642213,0.513520598,0.117776588,0.07751444,0.13599059,0.120827518,0.076652251,0.161818907,0.075310752,0.251673311,0.188300312,0.103826374,0.052360337,0.063275501,0.125451893,0.108995542,0.230589449,0.07337112,"classic,casual"
